Text,Processed_Text,Emotion By Score Ranges,Emotion By Keyword Stem,Sentiment Label,Positive Score,Negative Score,Neutral Score
Yes,['ye'],Curiosity,Unclassified,neutral,0.1077,0.0359,0.8564
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
That's right.,['right'],Curiosity,Unclassified,neutral,0.1249,0.0318,0.8434
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
That's right.,['right'],Curiosity,Unclassified,neutral,0.1249,0.0318,0.8434
That's right.,['right'],Curiosity,Unclassified,neutral,0.1249,0.0318,0.8434
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Okay.,['okay'],Curiosity,Unclassified,neutral,0.1083,0.0275,0.8642
Right.,['right'],Unclassified,Unclassified,neutral,0.0744,0.0326,0.893
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Not at all.,[],Unclassified,Unclassified,neutral,0.0683,0.1816,0.7501
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Securities.,['secur'],Unclassified,"Confidence, Optimism",neutral,0.0309,0.0488,0.9203
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
That's right.,['right'],Curiosity,Unclassified,neutral,0.1249,0.0318,0.8434
Got it.,['got'],Unclassified,Unclassified,neutral,0.0781,0.028,0.8939
No.,[],Unclassified,Unclassified,neutral,0.0912,0.0547,0.8541
'22.,"[""'22""]",Curiosity,Unclassified,neutral,0.1062,0.0311,0.8628
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Thanks.,['thank'],Curiosity,Unclassified,neutral,0.1588,0.0307,0.8105
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
We can.,[],Curiosity,Unclassified,neutral,0.1205,0.0267,0.8528
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
NII.,['nii'],Unclassified,Unclassified,neutral,0.0322,0.0375,0.9302
Right.,['right'],Unclassified,Unclassified,neutral,0.0744,0.0326,0.893
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Right.,['right'],Unclassified,Unclassified,neutral,0.0744,0.0326,0.893
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
So my -- what I...,['...'],Unclassified,Unclassified,neutral,0.077,0.0572,0.8659
Thank you.,['thank'],Curiosity,Unclassified,neutral,0.1625,0.014,0.8235
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
None.,['none'],Unclassified,Unclassified,neutral,0.0425,0.0293,0.9282
It's too early.,['earli'],Confusion,Unclassified,neutral,0.0408,0.2712,0.6879
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
No.,[],Unclassified,Unclassified,neutral,0.0912,0.0547,0.8541
Thank you.,['thank'],Curiosity,Unclassified,neutral,0.1625,0.014,0.8235
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Sure.,['sure'],Curiosity,"Confidence, Optimism",neutral,0.1081,0.0177,0.8742
No.,[],Unclassified,Unclassified,neutral,0.0912,0.0547,0.8541
Thank you.,['thank'],Curiosity,Unclassified,neutral,0.1625,0.014,0.8235
Got it.,['got'],Unclassified,Unclassified,neutral,0.0781,0.028,0.8939
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Sure.,['sure'],Curiosity,"Confidence, Optimism",neutral,0.1081,0.0177,0.8742
Got it.,['got'],Unclassified,Unclassified,neutral,0.0781,0.028,0.8939
No.,[],Unclassified,Unclassified,neutral,0.0912,0.0547,0.8541
"And with that, that does that...",['...'],Unclassified,Unclassified,neutral,0.0696,0.0224,0.908
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Right.,['right'],Unclassified,Unclassified,neutral,0.0744,0.0326,0.893
You got it.,['got'],Curiosity,Unclassified,neutral,0.1781,0.0306,0.7913
Thank you.,['thank'],Curiosity,Unclassified,neutral,0.1625,0.014,0.8235
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
Sure.,['sure'],Curiosity,"Confidence, Optimism",neutral,0.1081,0.0177,0.8742
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
I missed it.,['miss'],Curiosity,Negative Surprise,neutral,0.1053,0.1364,0.7584
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
For the U.S.,['u.'],Curiosity,Unclassified,neutral,0.1056,0.0208,0.8736
Yes.,['ye'],Curiosity,Unclassified,neutral,0.1082,0.0226,0.8692
