Text,Processed_Text,Emotion By Score Ranges,Emotion By Keyword Stem,Sentiment Label,Positive Score,Negative Score,Neutral Score,Emotion Category
[Operator Instructions] Our first question comes from Glenn Schorr with Evercore ISI.,"['[', 'oper', 'instruct', ']', 'first', 'question', 'come', 'glenn', 'schorr', 'evercor', 'isi']",Unclassified,"Doubtful, Curiosity, Skepticism",neutral,0.0465,0.0235,0.93,"Doubtful, Curiosity, Skepticism"
"So I noticed in the prepared remarks, in disclosure, you noted net interest revenue growth in every single business, obviously, rates were up, but it's also balanced growth. So we noted high deposit betas. I'm assuming that's going to stay given your mix of clients and business. So the question I have is, how much balance sheet growth is possible as you continue to have like really good capital return? Because that's what's -- that's going to help continuing to drive net interest revenue, right?","['notic', 'prepar', 'remark', 'disclosur', 'note', 'net', 'interest', 'revenu', 'growth', 'everi', 'singl', 'busi', 'obvious', 'rate', 'also', 'balanc', 'growth', 'note', 'high', 'deposit', 'beta', ""'m"", 'assum', 'go', 'stay', 'given', 'mix', 'client', 'busi', 'question', 'much', 'balanc', 'sheet', 'growth', 'possibl', 'continu', 'like', 'realli', 'good', 'capit', 'return', '?', 'go', 'help', 'continu', 'drive', 'net', 'interest', 'revenu', 'right', '?']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Optimism, Doubtful, Curiosity, Skepticism",positive,0.8229,0.0162,0.1609,"Confidence, Excitement, Optimism, Positive Surprise"
"Yes, Glenn, it's Mike. Let me just give you a couple thoughts there, and then, hopefully, I'll answer the question. But as you sort of think about the first quarter, and we said this at Investor Day as well, so -- we saw deposit balances a little higher than we expected in the beginning part of the -- our first quarter and this has come back down to kind of where we expected them to be. And as we sort of think about the second quarter, all things considered, we still expect NIM to increase, and we would expect that even with the lower deposit balances, the rate of growth of NIR will be a little lower than the first quarter, but we still expect to be -- it to be pretty healthy versus the second quarter of 2017. So we still expect to see both of that happening. And I think as we build -- as we continue to build the franchise and bring on new clients, we would hope that our -- any of the decline we see in our balances as a result of rates rising would be more than offset or offset partially at least by new business coming in, and we have the room on the balance sheet to continue to do that.","['ye', 'glenn', 'mike', 'let', 'give', 'coupl', 'thought', 'hope', 'answer', 'question', 'sort', 'think', 'first', 'quarter', 'said', 'investor', 'day', 'well', 'saw', 'deposit', 'balanc', 'littl', 'higher', 'expect', 'begin', 'part', 'first', 'quarter', 'come', 'back', 'kind', 'expect', 'sort', 'think', 'second', 'quarter', 'thing', 'consid', 'still', 'expect', 'nim', 'increas', 'would', 'expect', 'even', 'lower', 'deposit', 'balanc', 'rate', 'growth', 'nir', 'littl', 'lower', 'first', 'quarter', 'still', 'expect', 'pretti', 'healthi', 'versu', 'second', 'quarter', '2017', 'still', 'expect', 'see', 'happen', 'think', 'build', 'continu', 'build', 'franchis', 'bring', 'new', 'client', 'would', 'hope', 'declin', 'see', 'balanc', 'result', 'rate', 'rise', 'would', 'offset', 'offset', 'partial', 'least', 'new', 'busi', 'come', 'room', 'balanc', 'sheet', 'continu']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Optimism, Doubtful, Negative Surprise, Curiosity, Skepticism",positive,0.8771,0.0608,0.062,"Confidence, Excitement, Optimism, Positive Surprise"
"Okay. I appreciate that. You mentioned the business wins, obviously, in tri-party and collateral management claiming as the balances grow. Business wins and losses in Asset Servicing, are we not going to get that anymore?","['okay', 'appreci', 'mention', 'busi', 'win', 'obvious', 'tri-parti', 'collater', 'manag', 'claim', 'balanc', 'grow', 'busi', 'win', 'loss', 'asset', 'servic', 'go', 'get', 'anymor', '?']",Unclassified,Unclassified,neutral,0.0689,0.0568,0.8743,Neutral
"Well, yes -- no, we took that stat out because -- and we did -- and this came up a little bit at the Investor Day. And we agreed with the view that it just really wasn't a particularly worthwhile statistic. It's a gross number, not a net number. Our belief the way different people talk about it across the industry is very different, relative to timing, relative to -- is it custody, is it fund accounting, middle office, how you account it? And so our view is there just wasn't a whole lot of value in it, which we agreed with.","['well', 'ye', 'took', 'stat', 'came', 'littl', 'bit', 'investor', 'day', 'agre', 'view', 'realli', ""n't"", 'particularli', 'worthwhil', 'statist', 'gross', 'number', 'net', 'number', 'belief', 'way', 'differ', 'peopl', 'talk', 'across', 'industri', 'differ', 'rel', 'time', 'rel', 'custodi', 'fund', 'account', 'middl', 'offic', 'account', '?', 'view', ""n't"", 'whole', 'lot', 'valu', 'agre']",Unclassified,Unclassified,neutral,0.0645,0.075,0.8605,Neutral
Our next question comes from the line of Alex Blostein with Goldman Sachs.,"['next', 'question', 'come', 'line', 'alex', 'blostein', 'goldman', 'sach']",Unclassified,"Doubtful, Curiosity, Skepticism",neutral,0.0349,0.0314,0.9337,"Doubtful, Curiosity, Skepticism"
"I wanted to follow up on the discussion related to capital and the NPRs put out by the Fed. So in terms of, I guess, the excess capital dynamic, obviously, too early to really tell. But I was wondering if you guys think through the impact it could have on the business, particularly in the repo markets, which, I guess, has partially been somewhat constrained by the leverage requirement at the banks. A, I guess, do you think some of that could come back? To what extent you think that could help your tri-party repo business and if possible, I guess, break out how much of revenues you guys generated in tri-party repo to help us kind of calibrate what the upside could be?","['want', 'follow', 'discuss', 'relat', 'capit', 'npr', 'put', 'fed', 'term', 'guess', 'excess', 'capit', 'dynam', 'obvious', 'earli', 'realli', 'tell', 'wonder', 'guy', 'think', 'impact', 'could', 'busi', 'particularli', 'repo', 'market', 'guess', 'partial', 'somewhat', 'constrain', 'leverag', 'requir', 'bank', 'guess', 'think', 'could', 'come', 'back', '?', 'extent', 'think', 'could', 'help', 'tri-parti', 'repo', 'busi', 'possibl', 'guess', 'break', 'much', 'revenu', 'guy', 'gener', 'tri-parti', 'repo', 'help', 'us', 'kind', 'calibr', 'upsid', 'could', '?']",Curiosity,Unclassified,neutral,0.1451,0.0343,0.8207,Curiosity
"Yes, Alex, this is Mike. I think the impact on -- you'll get a better sense from the other banks in terms of exactly what the impact they think they will have, but you would think that given the constraints they are all under now, that you would see that have a positive impact on the repo market, which would then come back to us from a servicing perspective. To what extent? It's hard to know right now.","['ye', 'alex', 'mike', 'think', 'impact', 'get', 'better', 'sens', 'bank', 'term', 'exactli', 'impact', 'think', 'would', 'think', 'given', 'constraint', 'would', 'see', 'posit', 'impact', 'repo', 'market', 'would', 'come', 'back', 'us', 'servic', 'perspect', 'extent', '?', 'hard', 'know', 'right']",Unclassified,Optimism,neutral,0.0823,0.0327,0.885,Optimism
Any sense how much you guys generated in tri-party repo revenues currently?,"['sens', 'much', 'guy', 'gener', 'tri-parti', 'repo', 'revenu', 'current', '?']",Unclassified,Unclassified,neutral,0.0534,0.0209,0.9258,Neutral
"That's not something we disclose, but it's included in the Clearance and Collateral Management line that you see in the disclosure.","['someth', 'disclos', 'includ', 'clearanc', 'collater', 'manag', 'line', 'see', 'disclosur']",Unclassified,Unclassified,neutral,0.0261,0.0309,0.943,Neutral
"Got you. And then, just my follow-up secondly, just kind of going back to the Investor Day, you guys outlined a longer-term NIM guidance of 125 to 140. You're at 123 now. So seems like you're kind of there. Any additional clarity you guys can provide on the assumptions, I guess, underpinning the 125 to 140 in terms of the rate backdrop, the size of the balance sheet, the time frame of how you guys think you'll get to those levels?","['got', 'follow-up', 'secondli', 'kind', 'go', 'back', 'investor', 'day', 'guy', 'outlin', 'longer-term', 'nim', 'guidanc', '125', '140', '123', 'seem', 'like', 'kind', 'addit', 'clariti', 'guy', 'provid', 'assumpt', 'guess', 'underpin', '125', '140', 'term', 'rate', 'backdrop', 'size', 'balanc', 'sheet', 'time', 'frame', 'guy', 'think', 'get', 'level', '?']",Unclassified,Unclassified,neutral,0.0871,0.0159,0.8969,Neutral
"Yes. As you noted, we're pretty much on the bottom of that range as we speak. And so if rates continue to way the -- to increase the way the market expects, we would be getting into that range as we go out through the rest of the year. And as you know, there is a lot of dynamics that sort of play into exactly what the NIM will be in terms of deposit mix, the level and rates as you mentioned, but we would expect to begin to get into that range as we go out through the rest of the year.","['ye', 'note', 'pretti', 'much', 'bottom', 'rang', 'speak', 'rate', 'continu', 'way', 'increas', 'way', 'market', 'expect', 'would', 'get', 'rang', 'go', 'rest', 'year', 'know', 'lot', 'dynam', 'sort', 'play', 'exactli', 'nim', 'term', 'deposit', 'mix', 'level', 'rate', 'mention', 'would', 'expect', 'begin', 'get', 'rang', 'go', 'rest', 'year']",Curiosity,Unclassified,neutral,0.1668,0.0234,0.8099,Curiosity
"Got it. I mean, I guess, like there is a scenario where it will be above 140, just given there's still seems to be some runway on the rate side?","['got', 'mean', 'guess', 'like', 'scenario', '140', 'given', 'still', 'seem', 'runway', 'rate', 'side', '?']",Curiosity,Unclassified,neutral,0.1759,0.0335,0.7906,Curiosity
"Yes. I mean, it's possible...","['ye', 'mean', 'possibl', '...']",Curiosity,Acknowledgement,neutral,0.1183,0.0311,0.8506,Acknowledgement
"There's always a scenario, but who knows.","['alway', 'scenario', 'know']",Unclassified,Unclassified,neutral,0.0349,0.0626,0.9026,Neutral
Yes. It's possible.,"['ye', 'possibl']",Curiosity,Acknowledgement,neutral,0.1087,0.0226,0.8686,Acknowledgement
Our next question comes from the line of Brian Bedell with Deutsche Bank.,"['next', 'question', 'come', 'line', 'brian', 'bedel', 'deutsch', 'bank']",Unclassified,"Doubtful, Curiosity, Skepticism",neutral,0.0346,0.0302,0.9352,"Doubtful, Curiosity, Skepticism"
"Maybe if we can just go back into Asset Servicing, looking at it through the old way on the fee line of Asset Servicing, a very strong 10% growth year-over-year. Maybe, if you can just bifurcate that a little bit because if -- you're pulling the clearing and collateral out of that separately on the clearing and the Treasury Business. And if you can talk about -- maybe sort of qualitatively about the pipeline in Asset Servicing. I think you mentioned you're onboarding a new business from a large customer. If that's -- can you give a little more clarity on that and the timing of that?","['mayb', 'go', 'back', 'asset', 'servic', 'look', 'old', 'way', 'fee', 'line', 'asset', 'servic', 'strong', '10', '%', 'growth', 'year-over-year', 'mayb', 'bifurc', 'littl', 'bit', 'pull', 'clear', 'collater', 'separ', 'clear', 'treasuri', 'busi', 'talk', 'mayb', 'sort', 'qualit', 'pipelin', 'asset', 'servic', 'think', 'mention', 'onboard', 'new', 'busi', 'larg', 'custom', 'give', 'littl', 'clariti', 'time', '?']",Curiosity,"Confidence, Optimism",neutral,0.1649,0.0114,0.8237,Curiosity
"Yes. So as you sort of look at the Asset Servicing line back in the supplement, it's up 10% year-over-year as you sort of noted, Brian. So again, as you sort of think about the drivers of that, very consistent with what we talked about in general, about what's happening. So the market levels and currency sort of helped aid that as well as growth in our collateral businesses and then organic sort of flows into our existing client portfolios. So and then there is a little bit of seasonality that you see in the first quarter as you look at the sequential results from a few items. But for the most part, you're seeing the same drivers that we talked about in general across the firm.","['ye', 'sort', 'look', 'asset', 'servic', 'line', 'back', 'supplement', '10', '%', 'year-over-year', 'sort', 'note', 'brian', 'sort', 'think', 'driver', 'consist', 'talk', 'gener', 'happen', 'market', 'level', 'currenc', 'sort', 'help', 'aid', 'well', 'growth', 'collater', 'busi', 'organ', 'sort', 'flow', 'exist', 'client', 'portfolio', 'littl', 'bit', 'season', 'see', 'first', 'quarter', 'look', 'sequenti', 'result', 'item', 'part', 'see', 'driver', 'talk', 'gener', 'across', 'firm']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Optimism",positive,0.4965,0.0324,0.4711,"Confidence, Excitement, Optimism, Positive Surprise"
"And just keep in mind with business, there are different things that go into the revenue flow. The core custody, core fee-based business, obviously, is impacted by the level of the markets. Wins and losses, it's a slow, steady set of changes that happen based on what the trends are on wins and losses, so you're not going to see dramatic shifts there. And so one client coming on doesn't materially change the number in a quarter. But it does give you a point of view of what we're seeing in terms of wins and losses.","['keep', 'mind', 'busi', 'differ', 'thing', 'go', 'revenu', 'flow', 'core', 'custodi', 'core', 'fee-bas', 'busi', 'obvious', 'impact', 'level', 'market', 'win', 'loss', 'slow', 'steadi', 'set', 'chang', 'happen', 'base', 'trend', 'win', 'loss', 'go', 'see', 'dramat', 'shift', 'one', 'client', 'come', ""n't"", 'materi', 'chang', 'number', 'quarter', 'give', 'point', 'view', 'see', 'term', 'win', 'loss']",Unclassified,Unclassified,neutral,0.0496,0.1973,0.7531,Neutral
"Yes. And I think, as you think about the new business wins, we feel if we were to report a number, it would be pretty consistent with what we've seen over the last number of quarters. I mean, it was a little outsized at the end of last year, but otherwise, if you looked at the average across the previous quarters, it was pretty similar, and the pipeline still feels good.","['ye', 'think', 'think', 'new', 'busi', 'win', 'feel', 'report', 'number', 'would', 'pretti', 'consist', 'seen', 'last', 'number', 'quarter', 'mean', 'littl', 'outsiz', 'end', 'last', 'year', 'otherwis', 'look', 'averag', 'across', 'previou', 'quarter', 'pretti', 'similar', 'pipelin', 'still', 'feel', 'good']","Confidence, Excitement, Optimism, Positive Surprise",Unclassified,positive,0.7868,0.04,0.1733,"Confidence, Excitement, Optimism, Positive Surprise"
"And we have more conversion from the T. Rowe Price deal still -- yet to come, and I think you mentioned the JPMorgan treasury business is still -- the majority of that yet is still to be transitioned. Is that correct?","['convers', 't.', 'row', 'price', 'deal', 'still', 'yet', 'come', 'think', 'mention', 'jpmorgan', 'treasuri', 'busi', 'still', 'major', 'yet', 'still', 'transit', 'correct', '?']",Unclassified,Unclassified,neutral,0.052,0.0216,0.9263,Neutral
"Yes. Yes. Yes. A good number of the clients from JPMorgan have been converted already, but it's the -- a few of the bigger ones are coming between now and the end of the year.","['ye', 'ye', 'ye', 'good', 'number', 'client', 'jpmorgan', 'convert', 'alreadi', 'bigger', 'one', 'come', 'end', 'year']",Unclassified,Unclassified,neutral,0.3624,0.0193,0.6183,Neutral
"Okay. And just on the expense control, very solid, obviously, in the quarter, better than expectations. As we think about, Charlie, your comments on investing in the business in the rest of the quarters, this year, do you think this type of expense level is sustainable for the rest of the year given that you still have some improvements in the cost base to make as well?","['okay', 'expens', 'control', 'solid', 'obvious', 'quarter', 'better', 'expect', 'think', 'charli', 'comment', 'invest', 'busi', 'rest', 'quarter', 'year', 'think', 'type', 'expens', 'level', 'sustain', 'rest', 'year', 'given', 'still', 'improv', 'cost', 'base', 'make', 'well', '?']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Optimism, Skepticism",positive,0.8675,0.0098,0.1227,"Confidence, Excitement, Optimism, Positive Surprise"
"Yes, well, I'm not going to give you a forecast on expenses beyond what we said at Investor Day, but what you saw this quarter was very consistent with our points of view on what we think we can produce. And so this quarter includes a fair amount of the additional technology investments, not all of it will be growing throughout the year. But we're very, very focused on continuing to build and increasing the operating margin, which means we should continue to see a tight control on expense. What that means for the actual number, again, away from the effect of currency, we're focused on it. And so I think everything I said there we continue to play out throughout the year.","['ye', 'well', ""'m"", 'go', 'give', 'forecast', 'expens', 'beyond', 'said', 'investor', 'day', 'saw', 'quarter', 'consist', 'point', 'view', 'think', 'produc', 'quarter', 'includ', 'fair', 'amount', 'addit', 'technolog', 'invest', 'grow', 'throughout', 'year', 'focus', 'continu', 'build', 'increas', 'oper', 'margin', 'mean', 'continu', 'see', 'tight', 'control', 'expens', 'mean', 'actual', 'number', 'away', 'effect', 'currenc', 'focus', 'think', 'everyth', 'said', 'continu', 'play', 'throughout', 'year']",Optimism,Unclassified,neutral,0.4398,0.0202,0.5401,Optimism
Our next question comes from the line of Betsy Graseck with Morgan Stanley.,"['next', 'question', 'come', 'line', 'betsi', 'graseck', 'morgan', 'stanley']",Unclassified,"Doubtful, Curiosity, Skepticism",neutral,0.0316,0.0284,0.94,"Doubtful, Curiosity, Skepticism"
"Charlie, at Investor Day, we talked a lot about organic fee growth rates, and I think you mentioned -- or was it organic revenue growth rates? I think you mentioned that the old days of 1% going to 1.5%. Maybe you could talk a little bit about how much of the revenue growth this quarter was organic?","['charli', 'investor', 'day', 'talk', 'lot', 'organ', 'fee', 'growth', 'rate', 'think', 'mention', 'organ', 'revenu', 'growth', 'rate', '?', 'think', 'mention', 'old', 'day', '1', '%', 'go', '1.5', '%', 'mayb', 'could', 'talk', 'littl', 'bit', 'much', 'revenu', 'growth', 'quarter', 'organ', '?']",Unclassified,"Confidence, Optimism",neutral,0.0646,0.0254,0.91,"Confidence, Optimism"
"Yes. I'm not going to talk about that. It's not something we're going to talk about every single quarter. We did that in Investor Day just to give you a sense of the way we look at it internally and what we are focused on driving. I think -- but you -- but when you look at some of the results that we see, whether it's security lending loans, what we saw in FX, what you see in the levels of AUC/A, and just our comments on growing the underlying client base and franchise, I think directionally what you see across the businesses is headed in the right direction. And I guess the -- and the last thing that I would say is, when we went through Investor Day, it was a very interesting experience quite frankly to watch people's reactions to us being very open and honest and disclosing things that I don't think anyone else has disclosed in the business. So that, again, you have the lens into how we're thinking about it, which from our perspective is a positive because we're focused on the things that we want to do better at and think we can do better. But overall, you'll see it in the actual operating metrics over a period of time. So directionally in the businesses, which have more -- quicker paybacks, a series of the markets-related businesses, liquidity and security lending, you saw franchise growth, and we're focused on delivering it in the other businesses, which have longer lead times as well.","['ye', ""'m"", 'go', 'talk', 'someth', 'go', 'talk', 'everi', 'singl', 'quarter', 'investor', 'day', 'give', 'sens', 'way', 'look', 'intern', 'focus', 'drive', 'think', 'look', 'result', 'see', 'whether', 'secur', 'lend', 'loan', 'saw', 'fx', 'see', 'level', 'auc/a', 'comment', 'grow', 'underli', 'client', 'base', 'franchis', 'think', 'direct', 'see', 'across', 'busi', 'head', 'right', 'direct', 'guess', 'last', 'thing', 'would', 'say', 'went', 'investor', 'day', 'interest', 'experi', 'quit', 'frankli', 'watch', 'peopl', 'reaction', 'us', 'open', 'honest', 'disclos', 'thing', ""n't"", 'think', 'anyon', 'els', 'disclos', 'busi', 'len', 'think', 'perspect', 'posit', 'focus', 'thing', 'want', 'better', 'think', 'better', 'overal', 'see', 'actual', 'oper', 'metric', 'period', 'time', 'direct', 'busi', 'quicker', 'payback', 'seri', 'markets-rel', 'busi', 'liquid', 'secur', 'lend', 'saw', 'franchis', 'growth', 'focus', 'deliv', 'busi', 'longer', 'lead', 'time', 'well']",Curiosity,"Confidence, Excitement, Optimism, Positive Surprise, Curiosity",neutral,0.2065,0.0163,0.7772,Curiosity
"Got it. Okay. And just obviously, revenue growth is very strong this quarter. It seems like you outperformed the 1.5% long-term average that you were talking to at Investor Day. I don't know if that's a fair conclusion from your perspective?","['got', 'okay', 'obvious', 'revenu', 'growth', 'strong', 'quarter', 'seem', 'like', 'outperform', '1.5', '%', 'long-term', 'averag', 'talk', 'investor', 'day', ""n't"", 'know', 'fair', 'conclus', 'perspect', '?']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Excitement, Optimism, Positive Surprise",positive,0.5537,0.0911,0.3552,"Confidence, Excitement, Optimism, Positive Surprise"
"Yes. I think directionally, it's fair to say that there was higher organic revenue growth than we've seen in the past. We're not pounding our chests that we've declared victory here. I mean, this is the very beginning. And as I said, most -- the important parts of our business, Corporate Trust, Asset Servicing, continuing to build stronger flows in our Asset Management business, client assets in the Wealth Management business, those take time to build. And you're not going to see big movements several months into a process here. But directionally, we do feel very good about it.","['ye', 'think', 'direct', 'fair', 'say', 'higher', 'organ', 'revenu', 'growth', 'seen', 'past', 'pound', 'chest', 'declar', 'victori', 'mean', 'begin', 'said', 'import', 'part', 'busi', 'corpor', 'trust', 'asset', 'servic', 'continu', 'build', 'stronger', 'flow', 'asset', 'manag', 'busi', 'client', 'asset', 'wealth', 'manag', 'busi', 'take', 'time', 'build', 'go', 'see', 'big', 'movement', 'sever', 'month', 'process', 'direct', 'feel', 'good']","Confidence, Excitement, Optimism, Positive Surprise","Confidence, Optimism",positive,0.7293,0.0167,0.2541,"Confidence, Excitement, Optimism, Positive Surprise"
"Okay. And then, just separately, during the quarter, obviously, a lot of false story in the market, so if you could speak to, outlook -- if volatility pulls back a little bit and then separately on LIBOR, there was a lot of discussion on how you are positioned for the LIBOR moves that happened in the quarter and maybe you could speak to the impacts that had this quarter, so going forward is either the 1 and 3 months -- revert to the basis risk that had before or continue to widen out from here, we can get a sense of the impact on you guys?","['okay', 'separ', 'quarter', 'obvious', 'lot', 'fals', 'stori', 'market', 'could', 'speak', 'outlook', 'volatil', 'pull', 'back', 'littl', 'bit', 'separ', 'libor', 'lot', 'discuss', 'posit', 'libor', 'move', 'happen', 'quarter', 'mayb', 'could', 'speak', 'impact', 'quarter', 'go', 'forward', 'either', '1', '3', 'month', 'revert', 'basi', 'risk', 'continu', 'widen', 'get', 'sens', 'impact', 'guy', '?']",Unclassified,"Optimism, Frustration, Concern, Confusion, Doubtful, Negative Surprise, Curiosity, Skepticism",neutral,0.0571,0.0504,0.8925,"Optimism, Frustration, Concern, Confusion, Doubtful, Negative Surprise, Curiosity, Skepticism"
"Yes, Betsy, this is Mike. So on the first part, on the volatility question. So in the first quarter, some of the volatility did impact and helped some of the volumes that we saw, particularly in Pershing, as Charlie sort of noted in terms of having one of our peak days in that business. So in some ways, volatility will be helpful, right, but there could be negative effects of that as well depending on how that impacts the overall market. So we'll see. I think on the second part of the question, in terms of how we're positioned vis-à-vis sort of LIBOR, we are weighted more towards -- we have more LIBOR-based assets -- short-term LIBOR-based assets than we do liability. So as LIBOR starts to move up, whether it's 1 or 3 month, it is sort of helpful for us relative to how we're positioned.","['ye', 'betsi', 'mike', 'first', 'part', 'volatil', 'question', 'first', 'quarter', 'volatil', 'impact', 'help', 'volum', 'saw', 'particularli', 'persh', 'charli', 'sort', 'note', 'term', 'one', 'peak', 'day', 'busi', 'way', 'volatil', 'help', 'right', 'could', 'neg', 'effect', 'well', 'depend', 'impact', 'overal', 'market', 'see', 'think', 'second', 'part', 'question', 'term', 'posit', 'vis-à-vi', 'sort', 'libor', 'weight', 'toward', 'libor-bas', 'asset', 'short-term', 'libor-bas', 'asset', 'liabil', 'libor', 'start', 'move', 'whether', '1', '3', 'month', 'sort', 'help', 'us', 'rel', 'posit']",Optimism,"Optimism, Frustration, Concern, Confusion, Doubtful, Negative Surprise, Curiosity, Skepticism",neutral,0.4043,0.0286,0.5672,Optimism
"Okay. And then, just lastly, you mentioned Zelle and some of the things you're doing to help connect people to that. Without having to directly invest in the Zelle backbone, I think that's what I heard, but can you give us some color as to, not only what you're doing but where you think the market is for that?","['okay', 'lastli', 'mention', 'zell', 'thing', 'help', 'connect', 'peopl', 'without', 'directli', 'invest', 'zell', 'backbon', 'think', 'heard', 'give', 'us', 'color', 'think', 'market', '?']",Curiosity,Unclassified,neutral,0.1027,0.0109,0.8864,Curiosity
"Yes. I think, obviously, if I'm -- I presume everyone understands what Zelle is, which is the group that is owned by a series of banks that are building out the capabilities to leverage a real-time payments network. In order to participate in those capabilities, the institutions have to do a fair amount of work to integrate their technologies with those platforms. Not every bank wants to do that. Not every bank actually controls their own capabilities because some of it's outsourced. We -- those -- many of those banks are clients of ours in our Treasury Services business. So we have the ability to step in and provide a series of those services to help them get access to those networks. The real question over a period of time relative to what those capabilities mean is, will banks and others build out solutions that access the capabilities of these real-time networks so that product offerings become more attractive versus using ACH and other methods of payment today. That's something we and other financial institutions are very focused on. That will take -- that's not weeks or months, that'll evolve over the next couple of years, but those capabilities are better than what exists in the marketplace. And we're -- think of us as a facilitator for the financial institutions that don't have the infrastructure or can't spend on it to do their own direct integrations.","['ye', 'think', 'obvious', ""'m"", 'presum', 'everyon', 'understand', 'zell', 'group', 'own', 'seri', 'bank', 'build', 'capabl', 'leverag', 'real-tim', 'payment', 'network', 'order', 'particip', 'capabl', 'institut', 'fair', 'amount', 'work', 'integr', 'technolog', 'platform', 'everi', 'bank', 'want', 'everi', 'bank', 'actual', 'control', 'capabl', 'outsourc', 'mani', 'bank', 'client', 'treasuri', 'servic', 'busi', 'abil', 'step', 'provid', 'seri', 'servic', 'help', 'get', 'access', 'network', 'real', 'question', 'period', 'time', 'rel', 'capabl', 'mean', 'bank', 'other', 'build', 'solut', 'access', 'capabl', 'real-tim', 'network', 'product', 'offer', 'becom', 'attract', 'versu', 'use', 'ach', 'method', 'payment', 'today', 'someth', 'financi', 'institut', 'focus', 'take', 'week', 'month', 'evolv', 'next', 'coupl', 'year', 'capabl', 'better', 'exist', 'marketplac', 'think', 'us', 'facilit', 'financi', 'institut', ""n't"", 'infrastructur', 'ca', ""n't"", 'spend', 'direct', 'integr']",Curiosity,"Doubtful, Curiosity, Skepticism",neutral,0.1074,0.0141,0.8785,Curiosity
Our next question comes from the line of Ken Usdin with Jefferies.,"['next', 'question', 'come', 'line', 'ken', 'usdin', 'jefferi']",Unclassified,"Doubtful, Curiosity, Skepticism",neutral,0.0346,0.0279,0.9375,"Doubtful, Curiosity, Skepticism"
"First question, I'd like to ask you about, seems like the Issuer Services business seems to be flattening out. Can you just talk about the 2 different pieces of that and whether or not you're seeing either better activity or just better new business start to come through? Is that a turn in that?","['first', 'question', 'like', 'ask', 'seem', 'like', 'issuer', 'servic', 'busi', 'seem', 'flatten', 'talk', '2', 'differ', 'piec', 'whether', 'see', 'either', 'better', 'activ', 'better', 'new', 'busi', 'start', 'come', '?', 'turn', '?']",Curiosity,"Doubtful, Curiosity, Skepticism",neutral,0.1442,0.0331,0.8226,Curiosity
